"Grouper_id","Grouper","Grouper_Description"
1,"A01","PAIN,  GENERAL/MULTIPLE SITES"
2,"A02","CHILLS"
3,"A03","FEVER"
4,"A04","WEAKNESS/TIREDNESS GENERAL"
5,"A05","FEELING ILL"
6,"A06","FAINTING/SYNCOPE"
7,"A07","COMA"
8,"A08","SWELLING"
9,"A09","SWEATING PROBLEMS"
10,"A10","BLEEDING, HAEMORRHAGE NOS"
11,"A11","PAIN, CHEST NOS"
12,"A13","CONCERN/FEAR, TREATMENT"
13,"A16","IRRITABLE INFANT"
14,"A18","CONCERN, APPEARANCE"
15,"A20","EUTHANASIA REQUEST/DISCUSS"
16,"A21","RISK FACTOR, MALIGNANCY"
17,"A23","RISK FACTOR NOS"
18,"A25","FEAR, DEATH, DYING"
19,"A26","FEAR, CANCER NOS"
20,"A27","FEAR, OTHER DISEASE, NOS"
21,"A28","LIMITED FUNCTN/DISABIL NOS"
22,"A29","GENERAL SYMPT/COMPL, OTHER"
23,"A30","MED EXAM/CHECK, FULL, NOS"
24,"A31","MED EXAM/CHECKUP, PART, NOS"
25,"A44","PREVENTIVE IMMUNISATION GENERAL"
26,"A70","TUBERCULOSIS"
27,"A71","MEASLES"
28,"A72","CHICKENPOX"
29,"A73","MALARIA"
30,"A74","RUBELLA"
31,"A75","INFECTIOUS MONONUCLEOSIS"
32,"A76","VIRAL EXANTHEM, OTHER"
33,"A77","VIRAL DISEASE, OTHER/NOS"
34,"A78","INFECTIOUS DISEASE, OTHER/NOS"
35,"A79","MALIGNANCY NOS"
36,"A80","TRAUMA/INJURY, NOS"
37,"A81","MULTIPLE TRAUMA/INJURIES"
38,"A82","SECONDARY EFFECT OF TRAUMA"
39,"A84","POISONING BY MEDICAL AGENT"
40,"A85","ADVERSE EFFECT MEDICAL AGENT"
41,"A86","TOXIC EFFECT NON MEDICAL SUBST"
42,"A87","COMPLICATION OF TREATMENT"
43,"A88","ADVERSE EFFECT PHYSICAL FACTOR"
44,"A89","EFFECTS PROSTHETIC DEVICE"
45,"A90","CONGEN ANOMOLY NOS/MULTIPLE"
46,"A91","ABNORMAL RESULTS INVESTIGATION"
47,"A92","ALLERGY/ALLERGIC REACTION NOS"
48,"A93","PREMATURE NEWBORN"
49,"A94","PERINATAL MORBIDITY, OTHER"
50,"A95","PERINATAL MORTALITY"
51,"A96","DEATH"
52,"A97","NO DISEASE"
53,"A98","HEALTH MAINTAIN/PREVENT, OTHER"
54,"A99","GENERAL DISEASE NOS"
55,"B02","PAINFUL/ENLARGED LYMPH GLAND(S"
56,"B04","BLOOD SYMPT/COMPLAINT"
57,"B25","FEAR, AIDS"
58,"B26","FEAR, CANCER BLOOD/LYMPH"
59,"B27","FEAR, BLOOD/LYMPH DISEASE, OTH"
60,"B28","LIMITED FUNCTN/DISABIL BLOOD"
61,"B29","BLOOD/IMMUNE  SYMPTOM"
62,"B30","MED EXAM/CHECK, FULL, BLOOD"
63,"B31","MED EXAM/CHECK, PART, BLOOD"
64,"B70","LYMPHADENITIS, ACUTE"
65,"B71","LYMPHADENITIS, NON-SPECIFIC"
66,"B72","HODGKIN'S DISEASE/LYMPHOMAS"
67,"B73","LEUKAEMIA"
68,"B74","MALIGNT NEOPLASM BLOOD, OTHE"
69,"B75","BENIGN/UNCERT NEOPL BLOOD/LYMP"
70,"B76","RUPTURED SPLEEN, TRAUMATIC"
71,"B77","INJURY BLOOD/LYMPH/SPLEEN, OTHE"
72,"B78","ANAEMIAS, HEREDITARY HAEMOLYTIC"
73,"B79","CONGENITAL ANOM BLOOD/LYMPH"
74,"B80","ANAEMIA, IRON DEFICIENCY"
75,"B81","ANAEMIA, VIT B12/FOLATE DEFICIENCY"
76,"B82","ANAEMIA, OTHER/UNSPECIFIED"
77,"B83","PURPURA/COAGULATION DEFECTS"
78,"B84","ABNORMAL WHITE CELLS"
79,"B87","SPLENOMEGALY"
80,"B90","HIV-INFECTION, AIDS"
81,"B99","BLOOD/LYMPH/SPLEEN DISEASE, OTH"
82,"D01","PAIN/CRAMPS, ABDOMIN GENERAL"
83,"D02","PAIN, ABDOMINAL EPIGASTRIC"
84,"D03","HEARTBURN"
85,"D04","PAIN, RECTAL/ANAL"
86,"D05","PERIANAL ITCHING"
87,"D06","PAIN, ABDOMINAL LOCALISED, OTHER"
88,"D07","DYSPEPSIA/INDIGESTION"
89,"D08","FLATULENCE/GAS/BELCHING"
90,"D09","NAUSEA"
811,"D10","VOMITING"
