1,"Disease;Hansens (Leprosy)","Hansens (leprosy) disease","A78","016","A"
2,"Problem;growth;infant","problem with growth of an infant","T10","005","A"
3,"Lesion;brachial plexus","lesion of brachial plexus","N94","001","A"
4,"Lazy eye","n/a","F15","002","I"
5,"Pain;left lower quadrant","left lower quadrant pain","D06","005","A"
6,"Lesion;internal","internal lesion","A99","003","A"
7,"Lethargy","lethargy","A04","014","A"
8,"Lesion;penile","penile lesion","Y04","003","A"
9,"Leukaemia ","leukaemia","B73","001","A"
10,"Lesion;skin;generalised","n/a","S05","002","I"
11,"Lesion;vulval","vulval lesion","X16","004","A"
12,"Lesion;intracranial","intracranial lesion","N99","009","A"
13,"Lesion;skin;multiple","n/a","S05","003","I"
14,"Leucorrhoea","leucorrhoea","X14","002","A"
15,"Problem;feeding;infant","infant with feeding problem","T04","004","A"
16,"Loss (of);relative","loss of relative","Z23","001","A"
17,"Locking (of); joint(s)","n/a","L29","003","I"
18,"Lesion;skin;localised","n/a","S04","002","I"
19,"Lichen simplex chronicus","lichen simplex chronicus","S99","013","A"
20,"Lesion;hives;skin","skin hive lesion","S98","002","A"
21,"Leukopenia","leukopenia","B84","005","A"
22,"Lesion;vaginal","vaginal lesion","X15","003","A"
23,"Loss (of);child","loss of child","Z19","001","A"
24,"Litigation","litigation","Z09","001","A"
25,"Lipoma;skin","skin lipoma","S78","001","A"
26,"Tubal ligation;procedure","tubal ligation procedure","W52","002","A"
27,"Prolonged labour;stillbirth","prolonged labour of a stillbirth","W93","002","A"
28,"Low IQ","low IQ","P85","002","A"
29,"Lonely old","n/a","P03","010","I"
30,"Lordosis","lordosis","L85","001","A"
31,"Long;sight","long sight","F91","003","A"
32,"Lichen planus","lichen planus","S99","014","A"
33,"Loss (of);balance","loss of balance","N17","005","A"
34,"Loss (of);parent","loss of parent","Z23","002","A"
35,"Locking (of);knee","locking of knee","L96","001","A"
36,"Loss (of);feeling","loss of feeling","N06","006","A"
37,"Limping","n/a","L28","005","I"
38,"Lordosis;congenital","congenital lordosis","L82","007","A"
39,"Loss (of);speech","loss of speech","N19","007","A"
40,"Lumbago","lumbago","L03","003","A"
41,"Loss (of);sight","loss of sight","F94","003","A"
42,"Prolonged labour;liveborn(s)","prolonged labour of a liveborn","W92","007","A"
43,"Loss (of);consciousness","n/a","A06","007","I"
44,"History (of);loss of conscious","history of loss of consciousness","A06","008","A"
45,"Low;self esteem","n/a","P28","001","I"
46,"Low;blood","n/a","B29","002","I"
47,"Loss (of);taste","loss of taste","N16","003","A"
48,"Decreased;vision","decreased vision","F05","006","A"
49,"Loss (of);libido","loss of libido","P07","002","A"
50,"Loss (of);memory(temporary)","temporary loss of memory","P20","011","A"
51,"Malaise","n/a","A04","015","I"
52,"Lymphoma;non Hodgkins","non hodgkins lymphoma","B74","002","A"
53,"Lymphoma","lymphoma","B72","002","A"
54,"Marasmus","marasmus","T91","007","A"
55,"Test;Mantoux","mantoux test","R32","001","A"
56,"Lymphoma;Hodgkins","hodgkins lymphoma","B72","003","A"
57,"Marital/partner;crisis","marital/partner crisis","Z12","001","A"
58,"Malaria","malaria","A73","001","A"
59,"Loss (of);voice","loss of voice","R23","005","A"
60,"Loss (of);weight","loss of weight","T08","004","A"
61,"Loss (of);partner","loss of partner","Z15","002","A"
62,"Loss (of);smell","loss of smell","N16","004","A"
63,"Malaria prophylaxis","malaria prophylaxis","A44","001","A"
64,"Low;visual acuity","low visual acuity","F94","004","A"
65,"Lump(s);throat","lump in th throat","R21","003","A"
66,"Mass;skin;localised","localised skin mass","S04","004","A"
67,"Mastitis;puerperalis","mastitis puerperalis","W94","001","A"
68,"Lump(s);testes","testicular lump","Y05","004","A"
69,"Loss (of);partner;abandonment","loss of partner from abandonment","Z15","004","A"
70,"Port wine stain","port wine stain","S81","003","A"
71,"Lump(s);unspecified","unspecified lump","A08","001","A"
72,"Mass;breast;F","female breast mass","X19","003","A"
73,"Marfans syndrome","marfans syndrome","A90","003","A"
74,"Lymphoedema","lymphoedema","K99","012","A"
75,"Lump(s);behind ears","lump behind ears","S04","003","A"
76,"Marriage;difficulties","n/a","Z12","002","I"
77,"Marriage;disruption","n/a","Z15","003","I"
78,"Mania","mania","P73","009","A"
79,"Mass;thyroid","n/a","T15","001","I"
80,"Mark;raspberry","raspberry mark","S81","004","A"
81,"Mastitis;M","n/a","Y99","008","I"
82,"Mark;strawberry","strawberry mark","S81","005","A"
83,"Mastitis;non lactating","n/a","X21","001","I"
84,"Tattoo (mark)","tattoo mark","S29","004","A"
85,"Mass;unspecified","unspecified mass","A08","002","A"
86,"Mass;breast;M","male breast mass","Y16","001","A"
87,"Loss (of);partner;separation","loss of partner from separation","Z15","005","A"
88,"Keloid","keloid","S99","015","A"
89,"Mass;vulva","vulval mass","X16","005","A"
90,"Laceration;perineum (obstet)","perineal laceration (obstetric)","W92","008","A"
91,"Knock-knee;congenital","congenital knock-knee","L82","008","A"
92,"Polycystic kidney","polycystic kidney","U85","001","A"
93,"Problem(s);marriage","marriage problem","Z12","003","A"
94,"Mass;pelvis;F","female pelvic mass","X17","001","A"
95,"Fixation;joint for inflammatio","fixation of joint for inflammation","L54","012","A"
96,"Laceration;cervix (obstetric)","obstetric laceration to the cervix","W92","009","A"
97,"Mass;skin;generalised","generalised skin mass","S05","004","A"
98,"Stretch marks","stretch marks","S29","003","A"
99,"Joint;manipulation","joint manipulation","L57","001","A"
100,"Joint mouse;(excl knee)","joint mouse (excl knee)","L99","022","A"
101,"Stone;kidney","kidney stone","U95","008","A"
102,"Lassitude","lassitude","A04","016","A"
103,"Labour","labour","W90","002","A"
104,"Lack (of);heating","lack of heating","Z03","002","A"
105,"Seborrhoeic keratosis","seborrhoeic keratosis","S99","016","A"
106,"Problem;kidney","problem with kidney","U14","001","A"
107,"Lack (of);memory","lack of memory","P20","012","A"
108,"Koilonychia","n/a","S94","003","I"
109,"Injection;joint(s)","injection of joint","L55","002","A"
110,"Jetlag","n/a","A04","017","I"
111,"Lack (of);development","n/a","T10","007","I"
112,"Lack (of);housing","lack of housing","Z03","003","A"
113,"Labour;false","false labour","W99","003","A"
114,"Check up;IUCD","IUCD check up","W12","001","A"
115,"Laceration ","laceration","S18","002","A"
116,"Loss (of);memory","loss of memory","P20","013","A"
117,"Aspiration;joint(s)","aspiration of the joint(s)","L51","002","A"
118,"Keratosis","n/a","S21","004","I"
119,"Laceration;infection","n/a","S11","003","I"
120,"Jaundice","jaundice","D13","001","A"
121,"Jealousy;child","child jealousy","P22","003","A"
122,"Repair;laceration;skin","repair of skin laceration","S54","001","A"
123,"Impairment;memory","memory impairment","P20","014","A"
124,"Jerking","n/a","N06","007","I"
125,"Problem;mental health","mental health problem","P29","008","A"
126,"Thrombosis:mesenteric","mesenteric thrombosis","D99","016","A"
127,"Meningitis;coxsackie","coxsackie meningitis","N71","005","A"
128,"Meningitis","meningitis","N71","002","A"
129,"Meningioma","meningioma","N75","001","A"
130,"Jaundice;newborn","jaundice of the newborn","A94","001","A"
131,"Melaena","melaena","D15","003","A"
132,"Induction of labour;mechanical","mechanical induction of labour","W53","001","A"
133,"Jaundice;infectious","infectious jaundice","D72","007","A"
134,"Miliaria Rubra","Miliaria rubra","S92","005","A"
135,"Migraine","migraine","N89","003","A"
136,"Milia","milia","S99","017","A"
137,"Meningitis;enterovirus","enterovirus meningitis","N71","004","A"
138,"Injury;knee;meniscus;acute","acute knee meniscus injury","L96","002","A"
139,"Infestation (by);mites","mite infestation","S73","010","A"
140,"Morning after pill","morning after pill","W10","001","A"
141,"Migraine;hemiplegic","hemiplegic migraine","N89","006","A"
142,"Idiopath Thrombocytopenic Purp","idiopathic thrombocytopenic purpura","B83","006","A"
143,"Mental illness","mental illness","P99","003","A"
144,"Migraine;common","common migraine","N89","005","A"
145,"Miscarriage ","miscarriage","W82","004","A"
146,"Migraine;classical","classical migraine","N89","004","A"
147,"Migraine;ophthalmic","ophthalmic migraine","N89","007","A"
148,"Missed;abortion","missed abortion","W82","007","A"
149,"Missed;OC pill","missed OC pill","W02","002","A"
150,"Miscarriage;threatened","threatened miscarriage","W82","006","A"
